"","Economy_status_Developed","Life_expectancy","Adult_mortality","Infant_deaths","Alcohol_consumption","percentage.expenditure","Hepatitis_B","Measles","BMI","Under_five_deaths","Polio","Total.expenditure","Income.composition.of.resources","Diphtheria","Incidents_HIV","GDP_per_capita","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","region_numeric"
"Economy_status_Developed",1,0.57496538655387,-0.478438619680505,-0.478122173099131,0.663368355876755,0.44341103827594,-0.143220131476591,-0.0931479679825843,0.309179613710295,-0.123392973792283,0.218013943944948,0.362378898232579,0.334453118332031,0.265946624481246,-0.166574111594797,0.67773113074141,-0.0410718352816288,-0.413503106877718,-0.426675076973336,0.60329734616076,0.186564450838295
"Life_expectancy",0.57496538655387,1,-0.950258171410377,-0.92884860529474,0.428517399094055,0.398670417554504,0.0709713153702107,-0.037709389330003,0.42722148952722,-0.210149355181561,0.361265505786089,0.333656684088353,0.548310673909343,0.528672190415273,-0.466876733089205,0.628659818245275,0.0149532680371054,-0.442424597688971,-0.465095747189933,0.765544549562921,0.505984995110673
"Adult_mortality",-0.478438619680505,-0.950258171410377,1,0.848290719126658,-0.26585737049984,-0.345659236718058,-0.0759728304912249,0.0462842042152399,-0.406500405383434,0.170842427381542,-0.346538465462852,-0.279402726230055,-0.501834835358606,-0.466973950219012,0.607461636333243,-0.557778603964791,-0.0414135342643574,0.350180067067087,0.369615981683974,-0.641943050797573,-0.479605984863431
"Infant_deaths",-0.478122173099131,-0.92884860529474,0.848290719126658,1,-0.458312728265126,-0.311658833537058,-0.147347008968794,0.0490407883806903,-0.428563952923707,0.257688590349414,-0.416055372075254,-0.316142342874895,-0.523638391411784,-0.589602191492928,0.34404736094551,-0.514803945819331,0.00344178252246015,0.481357351128065,0.507675836427061,-0.804131582920434,-0.525475360556882
"Alcohol_consumption",0.663368355876755,0.428517399094055,-0.26585737049984,-0.458312728265126,1,0.315262245091777,-0.0887641231107476,-0.0505216699427543,0.231929916778623,-0.126416671067455,0.153766830231341,0.238530915507251,0.21619115528657,0.263517103504225,0.0136085164102905,0.444410933635162,-0.0217927447578609,-0.450043293316845,-0.454333853119421,0.627506021230191,0.244050572520829
"percentage.expenditure",0.44341103827594,0.398670417554504,-0.345659236718058,-0.311658833537058,0.315262245091777,1,-0.12204376845795,-0.0670469758440257,0.147339035190898,-0.093344288268846,0.0969360230386315,0.178962881339417,0.36858185661691,0.175744406240652,-0.0999867513945731,0.740725557001434,-0.0210606484629644,-0.236238495473312,-0.246855802012807,0.367483894930946,0.164492243780427
"Hepatitis_B",-0.143220131476591,0.0709713153702107,-0.0759728304912249,-0.147347008968794,-0.0887641231107476,-0.12204376845795,1,0.0195414676515777,0.143595703120038,-0.0201210713236499,0.568430783916705,0.0843345427811319,0.150418080501551,0.388737472555176,-0.0510266528626366,-0.140031080468148,0.0427367652859736,0.0762286966855157,0.0716531543156779,-0.00608033935888655,-0.0155708907320554
"Measles",-0.0931479679825843,-0.037709389330003,0.0462842042152399,0.0490407883806903,-0.0505216699427543,-0.0670469758440257,0.0195414676515777,1,-0.12803212382537,0.665595846283594,-0.0186074510497922,-0.0585400997730177,-0.0128080898349214,-0.0994452511625799,-0.0445661545728517,-0.0975118674959433,0.496760730328177,0.249838407021365,0.330629778807454,-0.065255475764116,-0.0174778076869243
"BMI",0.309179613710295,0.42722148952722,-0.406500405383434,-0.428563952923707,0.231929916778623,0.147339035190898,0.143595703120038,-0.12803212382537,1,-0.190033873494547,0.274051932043519,0.256478629645754,0.445010342245054,0.176348850615493,-0.188752780430661,0.238458686407198,-0.000427523095841201,-0.432647322757525,-0.471909393864059,0.499973438391719,0.440225559012814
"Under_five_deaths",-0.123392973792283,-0.210149355181561,0.170842427381542,0.257688590349414,-0.126416671067455,-0.093344288268846,-0.0201210713236499,0.665595846283594,-0.190033873494547,1,-0.0955825092270797,-0.111358118480306,-0.129704702974906,-0.18525904030491,0.0102444421385467,-0.139499040438139,0.592487300837674,0.419345434682915,0.492339276347586,-0.2026593301556,-0.145898685533275
"Polio",0.218013943944948,0.361265505786089,-0.346538465462852,-0.416055372075254,0.153766830231341,0.0969360230386315,0.568430783916705,-0.0186074510497922,0.274051932043519,-0.0955825092270797,1,0.291978789550159,0.394562140185911,0.494711146710535,-0.164284092538396,0.205137362235418,0.014591378444436,-0.0818807683137572,-0.0909053532433846,0.315096564829528,0.144354984093741
"Total.expenditure",0.362378898232579,0.333656684088353,-0.279402726230055,-0.316142342874895,0.238530915507251,0.178962881339417,0.0843345427811319,-0.0585400997730177,0.256478629645754,-0.111358118480306,0.291978789550159,1,0.277427970901759,0.186908763397191,-0.174246756982949,0.266992984399209,0.0351264651615711,-0.240858771858903,-0.271100344557694,0.273566302185897,0.208487177311046
"Income.composition.of.resources",0.334453118332031,0.548310673909343,-0.501834835358606,-0.523638391411784,0.21619115528657,0.36858185661691,0.150418080501551,-0.0128080898349214,0.445010342245054,-0.129704702974906,0.394562140185911,0.277427970901759,1,0.245451313594604,-0.268733807053566,0.399087301638488,0.000529302903751076,-0.267518985953316,-0.300099276081305,0.529007283001131,0.287345944043519
"Diphtheria",0.265946624481246,0.528672190415273,-0.466973950219012,-0.589602191492928,0.263517103504225,0.175744406240652,0.388737472555176,-0.0994452511625799,0.176348850615493,-0.18525904030491,0.494711146710535,0.186908763397191,0.245451313594604,1,-0.081202622978009,0.281606002064079,0.00802678703345362,-0.15721580443396,-0.207472307894469,0.43192354012863,0.101242138028604
"Incidents_HIV",-0.166574111594797,-0.466876733089205,0.607461636333243,0.34404736094551,0.0136085164102905,-0.0999867513945731,-0.0510266528626366,-0.0445661545728517,-0.188752780430661,0.0102444421385467,-0.164284092538396,-0.174246756982949,-0.268733807053566,-0.081202622978009,1,-0.156416943416572,-0.0563529758112176,0.0988248694010251,0.0868814950163337,-0.169813207328923,-0.291110079450837
"GDP_per_capita",0.67773113074141,0.628659818245275,-0.557778603964791,-0.514803945819331,0.444410933635162,0.740725557001434,-0.140031080468148,-0.0975118674959433,0.238458686407198,-0.139499040438139,0.205137362235418,0.266992984399209,0.399087301638488,0.281606002064079,-0.156416943416572,1,-0.0383672140711625,-0.371781204946528,-0.395429847035163,0.601079309325186,0.27903282445394
"Population_mln",-0.0410718352816288,0.0149532680371054,-0.0414135342643574,0.00344178252246015,-0.0217927447578609,-0.0210606484629644,0.0427367652859736,0.496760730328177,-0.000427523095841201,0.592487300837674,0.014591378444436,0.0351264651615711,0.000529302903751076,0.00802678703345362,-0.0563529758112176,-0.0383672140711625,1,0.276642306496747,0.281054228621236,-0.0446999541348707,-0.067363975401728
"Thinness_ten_nineteen_years",-0.413503106877718,-0.442424597688971,0.350180067067087,0.481357351128065,-0.450043293316845,-0.236238495473312,0.0762286966855157,0.249838407021365,-0.432647322757525,0.419345434682915,-0.0818807683137572,-0.240858771858903,-0.267518985953316,-0.15721580443396,0.0988248694010251,-0.371781204946528,0.276642306496747,1,0.949063929762966,-0.568023728069995,-0.487094157445257
"Thinness_five_nine_years",-0.426675076973336,-0.465095747189933,0.369615981683974,0.507675836427061,-0.454333853119421,-0.246855802012807,0.0716531543156779,0.330629778807454,-0.471909393864059,0.492339276347586,-0.0909053532433846,-0.271100344557694,-0.300099276081305,-0.207472307894469,0.0868814950163337,-0.395429847035163,0.281054228621236,0.949063929762966,1,-0.581694605079566,-0.484891372828221
"Schooling",0.60329734616076,0.765544549562921,-0.641943050797573,-0.804131582920434,0.627506021230191,0.367483894930946,-0.00608033935888655,-0.065255475764116,0.499973438391719,-0.2026593301556,0.315096564829528,0.273566302185897,0.529007283001131,0.43192354012863,-0.169813207328923,0.601079309325186,-0.0446999541348707,-0.568023728069995,-0.581694605079566,1,0.493757677172309
"region_numeric",0.186564450838295,0.505984995110673,-0.479605984863431,-0.525475360556882,0.244050572520829,0.164492243780427,-0.0155708907320554,-0.0174778076869243,0.440225559012814,-0.145898685533275,0.144354984093741,0.208487177311046,0.287345944043519,0.101242138028604,-0.291110079450837,0.27903282445394,-0.067363975401728,-0.487094157445257,-0.484891372828221,0.493757677172309,1
